first_name,last_name,middle_name,suffix,specialty,department,room_number,local_number,login_email,hmo_1,hmo_2,hmo_3,hmo_4,hmo_5,hmo_6,hmo_7,hmo_8,hmo_9,hmo_10,f2f_mon_am_start,f2f_mon_am_end,f2f_mon_pm_start,f2f_mon_pm_end,f2f_tue_am_start,f2f_tue_am_end,f2f_tue_pm_start,f2f_tue_pm_end,f2f_wed_am_start,f2f_wed_am_end,f2f_wed_pm_start,f2f_wed_pm_end,f2f_thu_am_start,f2f_thu_am_end,f2f_thu_pm_start,f2f_thu_pm_end,f2f_fri_am_start,f2f_fri_am_end,f2f_fri_pm_start,f2f_fri_pm_end,f2f_sat_am_start,f2f_sat_am_end,f2f_sat_pm_start,f2f_sat_pm_end,tele_mon_am_start,tele_mon_am_end,tele_mon_pm_start,tele_mon_pm_end,tele_tue_am_start,tele_tue_am_end,tele_tue_pm_start,tele_tue_pm_end,tele_wed_am_start,tele_wed_am_end,tele_wed_pm_start,tele_wed_pm_end,tele_thu_am_start,tele_thu_am_end,tele_thu_pm_start,tele_thu_pm_end,tele_fri_am_start,tele_fri_am_end,tele_fri_pm_start,tele_fri_pm_end,tele_sat_am_start,tele_sat_am_end,tele_sat_pm_start,tele_sat_pm_end,password
Concepcion,Mendoza,Rivera,,Anesthesiology,Anesthesiology,Hall B 492,4092,synth52@ammc.com,Asalus (formerly Intellicare),Cocolife Healthcare,Insular Health Care (I-Care),Kaiser International Healthcare Group,"AMAPhil, Inc.",,,,,,,,,,09:00,12:00,,,,,,,10:00,11:00,14:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount192
Eduardo,Medina,Mendoza,,Cardiology,Cardiology,Hall A 216,2016,synth53@ammc.com,Medicard,,,,,,,,,,,,,,,,,,09:30,12:00,,,10:00,12:00,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword566
Eduardo,Flores,Bautista,,Dermatology,Dermatology,Hall B 392,3092,synth54@ammc.com,"Optimum Medical & Healthcare Services, Inc.",Cooperative Health Management Federation,Cocolife Healthcare,"AMAPhil, Inc.","Medicare Plus, Inc.","Life & Health HMP, Inc.","Value Care Health Systems, Inc.",Carehealth Plus,"Carewell Health Systems, Inc.",,10:00,12:00,12:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin973
Ernesto,Torres,,,Surgery,Surgery,Hall B 657,6057,synth55@ammc.com,Asalus (formerly Intellicare),GetWell Health Systems Inc.,Medocare,"Carewell Health Systems, Inc.",Philcare,Health Maintenance Inc. (HMI),Caritas Health Shield,Pacific Cross Health Care,"AMAPhil, Inc.","Life & Health HMP, Inc.",10:00,12:00,,,,,,,,,,,,,,,10:00,12:00,,,,,12:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin391
Paz,Perez,Castillo,,Orthopedic Surgery,Orthopedic Surgery,Hall C 513,5013,synth56@ammc.com,Insular Health Care (I-Care),Carehealth Plus,Medicard,Wellcare,Health Maintenance Inc. (HMI),Cocolife Healthcare,Flexicare,,,,10:00,12:00,,,,,,,,,,,,,,,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin238
Eugenio,Flores,Ramos,,Emergency Medicine,Emergency Medicine,Hall A 123,1023,synth57@ammc.com,Carehealth Plus,Flexicare,GetWell Health Systems Inc.,"Life & Health HMP, Inc.",Avega Managed Care,Medicard,Dynamic Care Corporation,,,,,,,,,,,,,,13:00,16:00,10:00,12:00,15:00,14:00,,,,,,,,,09:30,12:00,12:00,14:00,,,,,,,,,,,,,,,,,10:00,12:00,,,clinicuser475
Soledad,Bernardo,,,Dental Medicine,Dental Medicine,Hall C 112,1012,synth58@ammc.com,Medocare,"Life & Health HMP, Inc.",,,,,,,,,,,,,10:00,12:00,,,,,12:00,14:00,09:30,12:00,12:00,14:00,,,,,10:00,12:00,15:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser610
Natividad,Rivera,Mendoza,,Radiology,Radiology,Hall A 205,2005,synth59@ammc.com,Dynamic Care Corporation,,,,,,,,,,10:00,12:00,12:00,17:00,,,,,,,,,09:30,11:00,,,,,13:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword524
Amador,Ocampo,Aquino,,Endocrinology,Endocrinology,Hall C 363,3063,synth60@ammc.com,Pacific Cross Health Care,"Life & Health HMP, Inc.",,,,,,,,,,,12:00,17:00,,,,,10:00,12:00,14:00,16:00,,,,,,,,,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword214
Wilfredo,Manalo,,,Ophthalmology,Ophthalmology,Hall B 336,3036,synth61@ammc.com,"Fortune Life Insurance Co., Inc.",Wellcare,Carehealth Plus,Maxicare,Medocare,,,,,,,,,,,,,,,,,,09:30,12:00,,,09:30,12:00,,,10:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,testaccount238
Florencio,Delos Reyes,Bautista,,Endocrinology,Endocrinology,Hall C 396,3096,synth62@ammc.com,BenLife Insurance Co. Inc.,"Carewell Health Systems, Inc.",Kaiser International Healthcare Group,Medicard,Wellcare,Asalus (formerly Intellicare),,,,,09:30,12:00,,,10:00,12:00,,,,,,,10:00,12:00,14:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin163
Rowena,Medina,Bautista,,Radiology,Radiology,Hall A 263,2063,synth63@ammc.com,"AMAPhil, Inc.",Pacific Cross Health Care,Caritas Health Shield,Philcare,eTIQA (formerly AsianLife),Asalus (formerly Intellicare),EastWest Healthcare,Flexicare,,,10:00,12:00,14:00,13:00,09:30,12:00,12:00,14:00,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin156
Domingo,Santos,Castillo,,Otorhinolaryngology,Otorhinolaryngology,Hall A 311,3011,synth64@ammc.com,"Value Care Health Systems, Inc.","Optimum Medical & Healthcare Services, Inc.","Life & Health HMP, Inc.",EastWest Healthcare,Maxicare,"Carewell Health Systems, Inc.","Medicare Plus, Inc.",,,,,,,,,,,,,,,,10:00,12:00,,,,,,,10:00,12:00,15:00,16:00,10:00,12:00,,,10:00,12:00,12:00,16:00,10:00,12:00,,,,,,,09:00,12:00,15:00,14:00,,,,,testpassword162
